record_id,wearlog_place,wearlog_place_english
MPI_S201,work desk,work desk
MPI_S201,NA,NA
MPI_S201,bedside table,bedside table
MPI_S201,desk,desk
MPI_S201,counter,counter
MPI_S201,in car,in car
MPI_S201,windowsill,windowsill
MPI_S202,beside my bed,beside my bed
MPI_S202,NA,NA
MPI_S204,NA,NA
MPI_S204,Drawer in the bath,Drawer in the bath
MPI_S204,On Bath drawer,On Bath drawer
MPI_S204,Bath drawer,Bath drawer
MPI_S204,on bath drawer,on bath drawer
MPI_S205,NA,NA
MPI_S205,between clothes,between clothes
MPI_S206,NA,NA
MPI_S206,on my desk,on my desk
MPI_S208,NA,NA
MPI_S208,Table,Table
MPI_S209,NA,NA
MPI_S210,NA,NA
MPI_S210,table,table
MPI_S212,NA,NA
MPI_S212,drawer,drawer
MPI_S213,NA,NA
MPI_S214,"Before sleeping, on the table","Before sleeping, on the table"
MPI_S214,NA,NA
MPI_S215,NA,NA
MPI_S215,In a black bag on a table,In a black bag on a table
MPI_S216,NA,NA
MPI_S218,NA,NA
MPI_S218,On a desk,On a desk
MPI_S219,NA,NA
MPI_S221,NA,NA
MPI_S221,on the table,on the table
MPI_S222,on the table,on the table
MPI_S222,shelve,shelf
MPI_S222,NA,NA
MPI_S222,table,table
MPI_S222,bed,bed
MPI_S223,NA,NA
MPI_S223,In drawer,In drawer
MPI_S224,dark drawer,dark drawer
MPI_S224,NA,NA
MPI_S224,backpack,backpack
MPI_S225,NA,NA
MPI_S225,on a Desk,on a desk
MPI_S226,NA,NA
MPI_S227,NA,NA
MPI_S228,NA,NA
MPI_S229,NA,NA
MPI_S230,NA,NA
MPI_S230,under jacket,under jacket
MPI_S230,jacket pocket,jacket pocket
MPI_S231,NA,NA
MPI_S231,Inside pocket of my coat,Inside pocket of my coat
MPI_S231,Backpack,Backpack
